episode,score,total_reward,epsilon
317.0,0.0,-12.0,0.5311914142238782
318.0,1.0,-0.1999999999999993,0.5301290313954304
319.0,1.0,-2.4000000000000004,0.5290687733326396
320.0,1.0,-0.5999999999999979,0.5280106357859743
321.0,1.0,-0.6999999999999975,0.5269546145144024
322.0,0.0,-10.5,0.5259007052853736
323.0,2.0,8.7,0.5248489038748029
324.0,3.0,18.499999999999993,0.5237992060670532
325.0,1.0,-1.399999999999995,0.5227516076549191
326.0,3.0,18.899999999999995,0.5217061044396093
327.0,1.0,-0.1999999999999993,0.52066269223073
328.0,1.0,-0.40000000000000036,0.5196213668462686
329.0,1.0,-0.5,0.5185821241125761
330.0,1.0,-1.599999999999996,0.5175449598643509
331.0,1.0,-1.099999999999996,0.5165098699446222
332.0,5.0,38.199999999999974,0.515476850204733
333.0,1.0,-1.5,0.5144458965043235
334.0,1.0,-1.6999999999999975,0.5134170047113148
335.0,1.0,-1.3999999999999968,0.5123901707018922
336.0,2.0,8.999999999999986,0.5113653903604884
337.0,0.0,-11.0,0.5103426595797674
338.0,2.0,8.399999999999999,0.5093219742606079
339.0,2.0,8.599999999999998,0.5083033303120866
340.0,1.0,-0.6999999999999993,0.5072867236514624
341.0,1.0,-0.8999999999999968,0.5062721502041595
342.0,2.0,8.999999999999993,0.5052596059037512
343.0,1.0,-1.799999999999999,0.5042490866919437
344.0,1.0,-1.099999999999996,0.5032405885185598
345.0,2.0,8.199999999999996,0.5022341073415226
346.0,0.0,-10.6,0.5012296391268396
347.0,0.0,-10.8,0.5002271798485859
348.0,1.0,-0.3000000000000007,0.4992267254888887
349.0,3.0,19.4,0.4982282720379109
350.0,0.0,-10.6,0.4972318154938351
351.0,2.0,8.899999999999991,0.49623735186284745
352.0,1.0,-0.29999999999999893,0.49524487715912174
353.0,1.0,-2.0,0.4942543874048035
354.0,1.0,-0.5,0.4932658786299939
355.0,5.0,36.19999999999995,0.4922793468727339
356.0,3.0,19.19999999999999,0.4912947881789884
357.0,4.0,29.19999999999999,0.4903121986026304
358.0,1.0,-0.5,0.48933157420542517
359.0,2.0,9.200000000000003,0.48835291105701434
360.0,1.0,-0.5,0.48737620523490033
361.0,6.0,48.29999999999998,0.48640145282443054
362.0,1.0,-0.6999999999999993,0.48542864991878165
363.0,0.0,-10.3,0.48445779261894406
364.0,0.0,-11.1,0.4834888770337062
365.0,3.0,18.49999999999999,0.4825218992796388
366.0,2.0,8.400000000000006,0.4815568554810795
367.0,4.0,27.999999999999993,0.4805937417701174
368.0,1.0,-0.1999999999999993,0.47963255428657714
369.0,1.0,-0.1999999999999993,0.478673289178004
370.0,1.0,-0.40000000000000036,0.477715942599648
371.0,3.0,19.0,0.4767605107144487
372.0,1.0,-0.7999999999999972,0.4758069896930198
373.0,4.0,29.4,0.4748553757136338
374.0,0.0,-10.4,0.47390566496220654
375.0,1.0,-0.8999999999999986,0.47295785363228215
376.0,2.0,8.199999999999989,0.4720119379250176
377.0,1.0,-0.5999999999999996,0.4710679140491676
378.0,2.0,7.199999999999992,0.47012577822106927
379.0,0.0,-10.6,0.46918552666462715
380.0,0.0,-10.3,0.46824715561129787
381.0,1.0,-0.9000000000000004,0.46731066130007526
382.0,0.0,-10.4,0.4663760399774751
383.0,2.0,8.900000000000002,0.46544328789752015
384.0,1.0,-1.9999999999999964,0.4645124013217251
385.0,1.0,-0.1999999999999993,0.46358337651908166
386.0,3.0,17.899999999999984,0.4626562097660435
387.0,2.0,9.200000000000003,0.4617308973465114
388.0,2.0,8.399999999999995,0.46080743555181836
389.0,0.0,-10.6,0.4598858206807147
390.0,2.0,8.399999999999991,0.4589660490393533
391.0,1.0,-0.6999999999999993,0.45804811694127456
392.0,0.0,-10.4,0.457132020707392
393.0,2.0,8.899999999999999,0.45621775666597725
394.0,1.0,-1.4000000000000004,0.45530532115264527
395.0,1.0,-0.9000000000000004,0.45439471051033997
396.0,2.0,9.0,0.4534859210893193
